JSTOR:Arts & Sciences XIV	JSTOR_COUPERIN_ARTS-AND-SCIENCES-XIV	https://www.jstor.org/kbart/collections/asxiv	JSTOR_Global_Arts&SciencesXIVCollection_2023-02-17
JSTOR:Arts & Sciences XV	JSTOR_COUPERIN_ARTS-AND-SCIENCES-XV	https://www.jstor.org/kbart/collections/asxv-backfile-collection	JSTOR_Global_Arts&SciencesXVCollection_2023-02-17
JSTOR:Asia	JSTOR_COUPERIN_ASIA	https://www.jstor.org/kbart/collections/asia-backfile-collection	JSTOR_Global_AsiaCollection_2023-02-17
BRILL:All Brill, Schöningh, Fink and mentis Titles	BRILL_GLOBAL_ALLEBOOKS	https://brill.com/fileasset/downloads_static/ebookkbart/Brill_Global_eBooks.txt	Brill_Global_eBooks
JSTOR:Biological Sciences	JSTOR_COUPERIN_BIOLOGICAL-SCIENCES	https://www.jstor.org/kbart/collections/biosci	JSTOR_Global_BiologicalSciencesCollection_2023-02-17
JSTOR:Business & Economics	JSTOR_COUPERIN_BUSINESS-AND-ECONOMICS	https://www.jstor.org/kbart/collections/businesseconomics	JSTOR_Global_Business&EconomicsCollection_2023-02-17
JSTOR:Business I	JSTOR_COUPERIN_BUSINESS-I	https://www.jstor.org/kbart/collections/bus	JSTOR_Global_BusinessICollection_2023-02-17
JSTOR:Business II	JSTOR_COUPERIN_BUSINESS-II	https://www.jstor.org/kbart/collections/busii	JSTOR_Global_BusinessIICollection_2023-02-17
JSTOR:Business III	JSTOR_COUPERIN_BUSINESS-III	https://www.jstor.org/kbart/collections/busiii	JSTOR_Global_BusinessIIICollection_2023-02-17
JSTOR:Business IV	JSTOR_COUPERIN_BUSINESS-IV	https://www.jstor.org/kbart/collections/busiv	JSTOR_Global_BusinessIVCollection_2023-02-17
CUP:CCO	CUP_GLOBAL_CCO	https://www.cambridge.org/core/services/aop-cambridge-core/kbart/create/bespoke/0FA3FCA4468F7A8E15F0414727CCE50F	CUP_Cambridge_Companions_Online
CUP:CHO	CUP_GLOBAL_CHO	https://www.cambridge.org/core/services/aop-cambridge-core/kbart/create/bespoke/E4BD8AB89BF46D463F219E9EEED3A62E	CUP_Cambridge_Histories_Online
CUP:Cambridge eBooks All Books	CUP_GLOBAL_ALLEBOOKS	https://www.cambridge.org/core/services/aop-cambridge-core/kbart/create/bespoke/8C5D6D9B701663C0B1B8F2556DE6AC2E	CUP_Cambridge_eBooks_All_Books
CUP:Cambridge Journals 2024 Full Collection	CUP_COUPERIN_ALLJOURNALS	https://www.cambridge.org/core/services/aop-file-manager/file/652702a7080b4a3a61221ab2	Cambridge-Journals-2024-Full-Collection
CUP:Cambridge-Journals-All-Gold-Open-Access-Journals	CUP_GLOBAL_OA-JOURNALS	https://www.cambridge.org/core/services/aop-file-manager/file/64553a61ac56ca63eba2589b/2024-Cambridge-Journals-All-Gold-Open-Access-Journals.txt	2024-Cambridge-Journals-All-Gold-Open-Access-Journals
